customer_id,gender,age,marital_status,dependents,contract_type,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,churn_status,call_duration_minutes,latitude,longitude
3850,Male,42,Married,3,Monthly,"Fiber Optic",No,No,Yes,No,No,Yes,Yes,Yes,41.40,595.21,No,1062,-49.780269,-13.803970
4696,Female,76,Single,1,Yearly,DSL,No,Yes,Yes,No,No,Yes,Yes,No,46.20,940.05,No,901,56.553157,113.992914
5695,Female,39,Married,2,Monthly,"Fiber Optic",Yes,No,Yes,Yes,No,No,Yes,No,43.05,919.62,No,928,80.762088,-27.906437
8712,Female,74,Single,3,Monthly,DSL,No,No,No,Yes,Yes,No,No,Yes,23.01,538.68,Yes,479,87.832819,86.922690
10506,Male,30,Married,3,Yearly,DSL,No,Yes,No,No,Yes,No,No,No,38.19,875.93,No,650,-88.373695,-29.320198
10846,Male,20,Married,2,Monthly,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,9.44,4.48,No,819,-54.267972,159.342125
12253,Female,24,Single,0,Monthly,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,35.63,200.36,No,75,2.978017,-38.257967
13639,Male,19,Single,0,Yearly,DSL,Yes,Yes,No,Yes,No,Yes,No,No,46.88,980.79,No,653,-48.440095,7.414829
14262,Female,32,Single,1,Monthly,DSL,No,Yes,Yes,Yes,No,Yes,No,Yes,56.13,723.39,No,594,32.197749,146.644439
20573,Male,41,Single,1,Yearly,"Fiber Optic",No,No,No,Yes,Yes,No,No,No,98.33,95.05,No,409,-66.727147,44.453225
22220,Male,20,Single,1,Yearly,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,96.05,312.09,No,549,-44.147861,143.561535
23832,Female,49,Married,3,Yearly,"Fiber Optic",Yes,Yes,No,No,Yes,Yes,No,Yes,39.56,607.97,No,529,26.472420,148.195260
28080,Male,39,Single,2,Monthly,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,No,No,79.40,468.31,No,471,-74.772073,-91.757406
28995,Female,56,Married,3,Monthly,"Fiber Optic",Yes,No,No,Yes,No,No,No,No,53.67,127.82,Yes,913,39.351544,-68.437460
29351,Female,29,Single,1,Yearly,"Fiber Optic",Yes,No,Yes,No,Yes,Yes,Yes,Yes,9.59,384.90,No,35,-47.141013,-143.546709
33230,Female,59,Married,3,Monthly,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,56.32,873.66,No,927,59.150308,116.662797
38584,Male,56,Married,3,Monthly,"Fiber Optic",No,Yes,No,Yes,No,No,No,Yes,33.50,628.47,Yes,962,17.299200,27.189129
38978,Female,45,Married,0,Yearly,"Fiber Optic",No,No,No,Yes,Yes,Yes,No,No,47.07,714.63,Yes,794,58.796677,-127.039698
39684,Female,63,Single,3,Monthly,"Fiber Optic",Yes,No,Yes,No,No,No,No,Yes,14.23,353.65,No,775,-52.744444,-145.405462
41085,Male,25,Married,3,Yearly,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,No,59.94,291.56,No,508,-65.080177,-28.145718
41246,Male,63,Married,0,Yearly,"Fiber Optic",Yes,No,Yes,Yes,Yes,No,No,No,17.89,852.53,No,85,-57.653922,66.326353
45995,Female,66,Married,0,Monthly,"Fiber Optic",No,Yes,No,No,No,Yes,No,Yes,71.25,783.35,No,655,-19.030361,-60.449572
48786,Female,52,Single,1,Yearly,DSL,No,Yes,Yes,Yes,No,Yes,No,No,81.80,45.09,No,867,-36.382883,-64.137534
48981,Male,46,Married,1,Monthly,"Fiber Optic",No,Yes,No,Yes,Yes,No,Yes,No,90.89,936.94,No,1174,-86.396627,-121.018702
56570,Male,21,Single,2,Yearly,DSL,No,Yes,Yes,Yes,No,No,No,No,64.16,79.48,No,149,-53.207576,53.545206
60890,Male,61,Married,1,Monthly,DSL,No,No,No,No,No,Yes,Yes,No,93.08,133.95,No,1181,-37.857498,-1.586429
65669,Male,27,Single,2,Monthly,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,18.90,360.04,No,103,41.842493,-34.976971
67179,Male,49,Single,0,Monthly,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,Yes,Yes,72.47,77.61,No,1004,7.884960,-105.285130
67869,Male,77,Married,1,Yearly,"Fiber Optic",Yes,Yes,No,No,Yes,No,No,Yes,92.26,90.31,No,178,34.303040,-177.283065
68069,Female,60,Single,3,Yearly,"Fiber Optic",Yes,Yes,Yes,Yes,No,No,Yes,Yes,56.92,824.61,No,725,49.330306,-159.203151
71747,Female,76,Single,3,Monthly,DSL,No,No,Yes,No,Yes,Yes,No,No,18.18,743.63,Yes,760,26.876948,-55.522768
75552,Female,70,Married,3,Yearly,DSL,No,No,No,Yes,Yes,No,Yes,No,64.80,535.98,No,85,-62.986574,12.855576
76479,Male,56,Single,1,Monthly,"Fiber Optic",No,No,No,Yes,No,No,No,Yes,43.48,465.98,Yes,875,12.938042,61.311973
76685,Male,35,Married,3,Yearly,DSL,No,Yes,Yes,No,Yes,No,Yes,No,41.24,218.46,No,743,5.841188,109.382675
77367,Male,59,Single,1,Yearly,"Fiber Optic",No,No,No,Yes,No,Yes,Yes,Yes,62.30,935.95,No,295,53.715109,-88.706833
80727,Female,25,Single,2,Yearly,DSL,Yes,Yes,Yes,No,No,No,No,No,75.74,880.69,Yes,17,32.044679,-55.083675
82875,Female,38,Single,3,Monthly,"Fiber Optic",Yes,No,Yes,Yes,No,No,No,Yes,37.44,676.79,No,327,14.740754,-147.166315
84987,Female,56,Single,1,Yearly,"Fiber Optic",Yes,No,No,No,No,Yes,No,Yes,14.89,669.68,No,599,53.010108,-9.880539
88573,Male,74,Married,0,Yearly,DSL,No,No,Yes,Yes,No,No,No,Yes,42.86,928.55,No,1198,76.022152,41.757710
